이름,위치,지역,별점,간단한설명,링크

루프탑정원, 제주 서귀포시 남원읍 태위로912번길 37, 남원읍, 4.9, 게스트하우스, https://naver.me/FzHmBcoG
쉴틈, 제주 제주시 조천읍 조함해안로 10-16, 조천읍, 별점없음, 민박, https://naver.me/F4Xc92so
삼일삼오, 제주 제주시 구좌읍 해맞이해안로 1542-4, 구좌읍, 별점없음, 민박, https://naver.me/FrKlCtkK
소노벨, 제주 제주시 조천읍 신북로 577, 조천읍, 4.27, 리조트, https://naver.me/GY2T27F6
카프리애월, 제주 제주시 애월읍 애월로4길 18, 애월읍, 4.83, 민박, https://naver.me/GNyUOLau
플랜비, 제주 제주시 애월읍 애월해안로 910, 애월읍, 4.71, 게스트하우스, https://naver.me/FQaIRwdv
탐탐56, 제주 제주시 구좌읍 상하도길 56, 구좌읍, 별점없음, 민박, https://naver.me/5L3HEkKr
달리펜션, 제주 제주시 구좌읍 행원로1길 32-1, 구좌읍, 4.75, 민박, https://naver.me/5wfHcMAr
우도피아, 제주 제주시 우도면 영일진사길 51-40, 우도면, 4.74, 펜션, https://naver.me/5DH3h0uK
아레나로하, 제주 제주시 한림읍 협재8길 5 단독, 한립음, 별점없음, 민박, https://naver.me/IGGNzQdw
신라스테이 제주, 제주 제주시 노연로 100, 제주시, 4.51, 4성급, https://naver.me/Fsh0GxFW
코코스펜션, 제주 제주시 한림읍 협재2길 26, 한림읍, 4.52, 펜션, https://naver.me/FjojJ26c
동행in, 제주 제주시 한림읍 협재1길 27 1층, 한림읍, 4.71, 게스트하우스, https://naver.me/Fsl6a7eZ
1미리, 제주 제주시 한림읍 협재6길 22-4, 한림읍, 4.84, 게스트하우스, https://naver.me/5HSEiEil
어랭이 오리지널, 제주 제주시 한림읍 협재3길 7, 한림읍, 4.81, 펜션, https://naver.me/IIqf4gJA
갈매기둥지, 제주 제주시 조천읍 조함해안로 514 2층, 조천읍, 4.64, 민박, https://naver.me/xXr7Evqm


양식,확인,해,주,세,요
